formula,target
SrLaZn2,1.5786943525000003
HfCrAu2,2.1710776337500004
YScIn2,1.9961261208333339
Si2TcRh,2.46506237
YGaCu2,1.8496021050000002
Y2NiPd,1.8501981224999993
Sc2TlIn,1.9977603629166674
AgSbPd2,1.6153749362500003
ScTiZn2,2.3010575483333335
Sc2TlRh,1.7887846712500002
MgCu2Pt,1.8675410675000004
InCuNi2,2.1067588216666664
La2AgOs,1.8688033087500004
FeCuPd2,2.2705391150000005
Y2GaAu,1.7865895799999993
ZrInAg2,2.015084741666667
ScSnIr2,2.3089394687499993
BeFe2P,2.3670806257142853
HfMgPt2,1.5504941137500001
Y2HgRu,1.8977645962499992
Sc2InOs,2.3757959329166676
ScTiTl2,2.1503809458333336
VZnCo2,2.43890240625
Ti2ZnRh,2.3752498029166667
MnHgPd2,1.5434399649999997
MnZn2Co,2.0472253100000004
HfCuAu2,1.85838704375
ScGaAg2,1.5920225025000003
LiLa2Hg,2.1033956375
MnAgPd2,1.9942985374999997
BeBPt2,1.913665169583333
CuPdAu2,1.7442424649999997
LiAl2Ru,2.1071614312499993
Y2ZnPd,1.8932245862500001
Sc2TlCu,2.0984451487499998
LaScRu2,2.0981242174999997
ZrZnPd2,1.6553745287499995
AlCuNi2,2.1946360950000003
YScCd2,1.9748897575000002
La2CuOs,1.9999395312500008
ZnNiPd2,1.9541323612500006
Li2TlRh,1.5267869437499997
Y2GaCu,2.1844067999999996
LiYIn2,1.5476323458333334
LiTaPt2,1.9970855600000004
Y2AlRu,2.31926466125
LiY2Hg,1.9853950924999997
LiY2Cd,2.1306163087499996
Sc2AlPd,1.9949282324999995
ScMnAu2,1.6047450050000003
LiPd2Au,1.7120955524999997
Al2CrFe,2.442940862499999
HfScAu2,2.0452526687500003
Y2CuAg,2.151843185
Y2HgPd,1.6997546424999994
BeGePt2,1.70425219
ZrGaCu2,2.3091232449999994
LaYAl2,2.30891054
Y2ZnTc,2.3882417887500003
Y2RhPb,1.746628135
Y2ZnRh,1.8378123162500004
ScBe2Pt,2.3026014499999996
MnTlRh2,2.31020065625
Sc2TlFe,2.2766221212500004
MgZrHg2,1.5945258725000002
Y2MgCd,2.1700271787500003
LiScIn2,1.5206426233333332
AlZnCo2,2.22350657375
MnInPt2,1.733654276666667
CdPd2Pt,1.95923862875
CaYMg2,1.850158405
LiZrPd2,1.6414823675
MnBePt2,2.03207086875
Y2PbAu,1.60332082
Mg2CdIr,1.7545191487500003
Y2PdPb,1.70867644
ZrPdAu2,1.8505323500000004
Sc2TlGa,1.9740520612500005
AlFe2Ge,2.3520400362500005
Zn2IrAu,1.7828020675000003
LiBe2Pt,1.7723054375
Sc2CuPd,1.9051825
Sc2CoPt,1.8673574474999999
Y2TlCu,2.1260314512500003
YHfAu2,2.0647784712500004
TiBeCu2,2.4219641120833333
LaYPb2,1.6210487075000004
Y2TcPb,2.3989861799999996
La2ZnIn,1.9154461079166667
MgSc2Ga,2.1555415950000003
Y2OsPd,2.26813540875
HfMgNi2,2.2424240787499996
MgSc2Ag,2.1607700175
ZrZn2Pd,2.0566906924999997
MgCo2Ge,2.2070611837500005
HfNi2Au,2.07273908125
Sc2PdRh,1.6589124425000001
Zr2HgAu,2.4420671649999997
ZrCu2Ag,2.2705055874999998
LiSc2Co,2.143658115
La2CdPb,1.70172263625
LiYZn2,1.5266910050000002
Y2AlPb,2.0458216324999996
LiSc2In,2.125989534166666
LiSi2Ir,2.0081458025
Sc2InHg,1.8493670866666663
YRhAu2,1.7899032599999996
Sc2TlAu,1.7222077312499997
In2PdRh,1.528952135833333
Y2InCu,2.1774119366666667
MgAgPd2,1.6637536274999998
HfZrAu2,2.4558592762499996
Sc2HgPd,1.6513428299999995
LiY2Zn,2.18322292625
MgCuPt2,2.0158571025
La2AgPb,1.71119747
La2AlIn,2.035637326666667
Y2MgIr,2.0557591100000008
Sc2AgRh,1.7535048250000003
Y2ZnPb,1.90413604625
Ag2PdAu,1.6953643600000003
Y2InHg,1.8693073566666665
CaYAg2,1.5935676625
Y2AgPd,1.7568547075
MnTlPd2,1.5541892437500007
La2SnHg,1.5328293862499995
Sc2TlCo,2.1045365412500003
TiCdCu2,1.9968932645833326
MnSi2Tc,2.4938341399999997
Sc2AgPt,1.6332620599999998
CaLaGa2,1.5547363924999997
Zn2CoCu,1.7362719850000004
Sc2NiPd,1.8646878774999998
LiGe2Ir,1.7964928900000001
TiZn2Pd,1.869476235833333
MgScTl2,1.5224949175
TlCuPd2,1.6320918462499998
HfScPd2,2.0968200687500005
ScTiRh2,2.1365987733333327
MgVRh2,2.1716497425000005
MgTiPd2,1.5887821033333331
HfVAu2,2.35675672125
Zn2IrPt,2.1970550575
In2IrRh,2.152758993333333
ZrScIr2,2.39473193
AlNiPt2,2.0405581600000002
Co2CuGe,2.4069208762499996
TiAgAu2,1.527247500833333
MgSc2Au,1.9040652825
LiZn2Ru,1.7972364212499998
Ga2CoRh,1.927020975
CaScTl2,1.5552894249999998
Al2FeRh,2.252005355
CuPd2Au,2.0880489525
ScZn2Cu,1.6634312624999996
MgSc2Hg,1.9858740375000001
HfBeAu2,2.0188630675000003
AlCdRh2,1.9755083387499996
Sc2CdAu,1.75059982875
Zr2PdPt,2.424906802499999
LiLa2Cd,2.09928370375
Y2TlPb,1.82048124125
MgZn2Ru,1.8903025862499998
LiLa2Ge,1.7384706412499993
Sc2GaNi,2.0693253625
Sc2HgOs,2.1838135587500003
InCuRh2,2.399160726666666
MgCdPt2,1.5350008237500004
Be2CrPt,2.3192676024999996
GaNiPt2,1.995359085
LiSc2Tl,2.0764759187499995
LiNi2As,1.8448425262500003
Sc2TlHg,1.80425776375
Sc2CoRh,2.1454193150000007
Sc2TcRh,2.4583173124999993
Y2SnHg,1.67997825125
LiSbPt2,1.53070357625
Al2FeCu,2.084970935
Y2CdRu,2.031331945
La2CuGe,1.7038061562499998
LaYCu2,2.1575174725
Y2InRu,2.109206170416666
LaMg2Sc,2.3014160475
ZnGaNi2,1.76817461125
LiY2In,2.121734266666666
YZrPd2,2.064338202499999
Al2NiPt,1.6069194799999997
LiSc2Pd,1.8600954049999996
InFeRh2,2.4202307991666663
Zn2CuRh,1.703211215
Sc2CuRh,1.8948678800000005
LiPRh2,1.8033900169642858
Be2CoPd,2.3146826999999996
CuNiAu2,1.7928948800000004
Sc2IrPt,1.6590780325
Sc2ZnCo,2.1029243712500003
MgBePt2,1.68496705625
Al2CuTc,2.2439744850000003
Y2TlZn,2.0268843325
Sc2CuHg,1.9919635875000004
LiGa2Tc,1.8773737975000002
LiMg2Ir,1.791657335
ZrZnIr2,2.29899606875
Sc2TlPd,1.80686725125
LaYHg2,1.7553151225
CuNi2Ge,2.07308783875
TiCuAu2,1.660672398333333
LiPRu2,2.486907576964286
Y2MgGa,2.1450149600000006
ZrScPd2,2.0865370025
SrLaMg2,1.7672772425000003
MgZrCd2,1.804727345
MnZnPt2,1.861460731250001
MnZnPd2,1.6353258962500008
LiSn2Ir,1.7505325049999998
La2CdIn,1.8889848979166666
Al2CrIr,2.3552131149999997
YMnAu2,1.5600089550000003
Li2YGa,1.759537975
Y2AgPb,1.8386056675
ZrZn2Au,1.7837467825
BeZnPt2,1.7578065175000002
